,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,kakao_keyword,kakao_map_url,kakao_store_name,kakao_star_point,kakao_star_point_qty,kakao_blog_review_txt,kakao_blog_review_qty
60,커피체리식당,한식,한식/백반/한정식,한식 음식점업,대사동,36.3185203243053,127.428898310728,한식한식 백반 한정식한식 음식점업,대사동%20커피체리식당,https://place.map.kakao.com/21335364,커피체리,5.0,1.0,,0.0
61,제일다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,부사동,36.3196306317435,127.433055418741,커피점 카페커피전문점 카페 다방비알콜 음료점업,부사동%20제일다방,https://place.map.kakao.com/21435872,제일다방,5.0,1.0,,0.0
62,노랑물고기,한식,한식/백반/한정식,한식 음식점업,온천2동,36.360007059413,127.341705051884,한식한식 백반 한정식한식 음식점업,온천2동%20노랑물고기,https://place.map.kakao.com/17783434,노랑물고기,4.5,2.0,골고루 먹기 좋아요,12.0
63,장태산중화요리,중식,중국음식/중국집,중식 음식점업,기성동,36.253312260377,127.340898698915,중식중국음식 중국집중식 음식점업,기성동%20장태산중화요리,https://place.map.kakao.com/10091590,장태산중화요리,1.0,1.0,제 입맛에는 별로에요,1.0
64,비래골손두부식당,한식,순두부전문,한식 음식점업,비래동,36.3677529332757,127.449422175177,한식순두부전문한식 음식점업,비래동%20비래골손두부식당,https://place.map.kakao.com/9824168,비래골손두부식당,5.0,1.0,화려한 밥상은 아니여도 고향 엄마손맛을 제대로 느낄수있는 집이에요. 소박하면서  느리게 천천히 다 먹고 싶은 맛!!!,3.0
65,어굼터,일식/수산물,갈치/생선구이,한식 음식점업,용전동,36.3487147284785,127.433190015777,일식 수산물갈치 생선구이한식 음식점업,용전동%20어굼터,https://place.map.kakao.com/12400989,어굼터,4.2,5.0,맛있게 잘먹구왔어요♡,1.0
66,그리로,양식,정통양식/경양식,서양식 음식점업,중촌동,36.3384381991174,127.408545730377,양식정통양식 경양식서양식 음식점업,중촌동%20그리로,https://place.map.kakao.com/21334845,그리로,4.2,5.0,,0.0
67,길손집식당,한식,한식/백반/한정식,한식 음식점업,비래동,36.3671926871806,127.449102954787,한식한식 백반 한정식한식 음식점업,비래동%20길손집식당,https://place.map.kakao.com/8817996,길손집,4.2,5.0,,3.0
68,국수장터,분식,국수/만두/칼국수,분식 및 김밥 전문점,삼성동,36.3414130643123,127.425322374939,분식국수 만두 칼국수분식 및 김밥 전문점,삼성동%20국수장터,https://place.map.kakao.com/21438888,국수장터,2.7,3.0,흑수제비 맛있어욥 잔치국수는 보통,1.0
69,카페올,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,전민동,36.4006075010011,127.39619075055,커피점 카페커피전문점 카페 다방비알콜 음료점업,전민동%20카페올,https://place.map.kakao.com/24287212,카페올,4.5,2.0,레알 유럽에 온 느낌,4.0
70,황금잉어빵,제과제빵떡케익,제과점,제과점업,오정동,36.3564889403312,127.415607034836,제과제빵떡케익제과점제과점업,오정동%20황금잉어빵,https://place.map.kakao.com/10031513,황금어장식품 본사,4.5,2.0,,1.0
71,희라식당,한식,한식/백반/한정식,한식 음식점업,산성동,36.3105624112777,127.388834726601,한식한식 백반 한정식한식 음식점업,산성동%20희라식당,https://place.map.kakao.com/486030806,희라식당,5.0,1.0,로컬 맛집인듯 사장님 음식솜씨도 좋고 갠적으로 닭도리탕 백숙같은거 진짜 잘함,1.0
72,추부추어탕,한식,추어탕전문,한식 음식점업,월평1동,36.3565071488057,127.364442167414,한식추어탕전문한식 음식점업,월평1동%20추부추어탕,https://place.map.kakao.com/18384066,추부추어탕,5.0,1.0,,15.0
73,효성각,중식,중국음식/중국집,중식 음식점업,도마1동,36.310466601168,127.38421420515,중식중국음식 중국집중식 음식점업,도마1동%20효성각,https://place.map.kakao.com/16110366,효성각,1.0,1.0,요즘은 중국집도 짜장면 1인분은 배달을 할 수가 없다네요. ,0.0
74,등나무식당,한식,한식/백반/한정식,한식 음식점업,대화동,36.3673922328579,127.413397062821,한식한식 백반 한정식한식 음식점업,대화동%20등나무식당,https://place.map.kakao.com/8955518,등나무집,1.0,1.0,,0.0
75,춘천명동1번지닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,진잠동,36.3039865228521,127.317791327233,닭 오리요리닭갈비전문한식 음식점업,진잠동%20춘천명동1번지닭갈비,https://place.map.kakao.com/24531930,춘천명동1번지닭갈비 직영점,1.0,1.0,,1.0
76,금강숯불구이,한식,한식/백반/한정식,한식 음식점업,홍도동,36.3465908272713,127.422532565374,한식한식 백반 한정식한식 음식점업,홍도동%20금강숯불구이,https://place.map.kakao.com/25430530,금강숯불구이,3.7,3.0,"위생안좋구요, 홀서빙보는 삼촌도 기본 에티켓이 없습니다. 숯불 놓아주실때 숯 가루가 다 날리구요,, 갈비먹고 가족들 설사하고 난리입니다.. 대전 1등 갈비라니요,,",5.0
77,수정다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,진잠동,36.3005890329955,127.317832048868,커피점 카페커피전문점 카페 다방비알콜 음료점업,진잠동%20수정다방,https://place.map.kakao.com/21239650,수정다방,3.7,3.0,,0.0
